FIPS,Population,White,Black,Native,Asian,Pacific_Islander,Other,Multiracial,Percentage_White,Percentage_Black,Percentage_Native,Percentage_Asian,Percentage_Pacific_Islander,Percentage_Other,Percentage_Multiracial,Percentage_Nonwhite,Percent_Hispanic,Percentage_Household_Poverty,Percentage_DifferentHouseOneYearAgo,Percentage_AbroadOneYearAgo,MedianAge_Total,MedianAge_Male,MedianAge_Female
250250402001,1113,280,409,0,37,0,244,143,25.1572327,36.7475292,0,3.324348607,0,21.92273136,12.84815813,74.8427673,45.46271339,56.50684932,11.85324553,0,20.3,20,24.4
250250402002,728,632,6,0,77,0,2,11,86.81318681,0.824175824,0,10.57692308,0,0.274725275,1.510989011,13.18681319,4.395604396,11.9047619,10.76040172,0,40,42.8,39.7
250250403001,965,133,487,0,219,0,84,42,13.78238342,50.46632124,0,22.69430052,0,8.704663212,4.352331606,86.21761658,10.88082902,75.40983607,13.70614035,0,25.4,12.7,29.2
250250403002,1342,1330,0,0,0,0,0,12,99.10581222,0,0,0,0,0,0.894187779,0.894187779,2.459016393,1.521438451,17.63815291,0,40.3,43,40.1
250250403003,670,623,0,0,27,0,0,20,92.98507463,0,0,4.029850746,0,0,2.985074627,7.014925373,0,2.98013245,29.40298507,0,30.5,29.6,32.7
250250403004,752,714,0,0,22,0,0,16,94.94680851,0,0,2.925531915,0,0,2.127659574,5.053191489,0,20.32786885,14.07307172,1.894451962,31.1,32.8,30.8
250250403005,596,576,0,0,20,0,0,0,96.6442953,0,0,3.355704698,0,0,0,3.355704698,2.684563758,0,5.065666041,0,35.3,34.7,36
250250404011,1836,1363,45,0,271,0,149,8,74.23747277,2.450980392,0,14.76034858,0,8.11546841,0.435729847,25.76252723,8.660130719,17.28855721,21.26721763,0,33.9,32.5,34.2
250250404012,687,661,0,0,26,0,0,0,96.2154294,0,0,3.784570597,0,0,0,3.784570597,0,11.8251928,24.45414847,0,34.3,33.9,37.2
250250406001,1139,855,150,0,64,0,12,58,75.06584723,13.16944688,0,5.618964004,0,1.053555751,5.092186128,24.93415277,4.12642669,4.430379747,20.10535558,0,30.5,32.5,29.4
250250406002,1733,1697,0,0,36,0,0,0,97.92267744,0,0,2.077322562,0,0,0,2.077322562,1.904212349,9.534883721,21.91860465,0.23255814,35.2,33.5,35.9
